id,start_char,end_char,label,text,context
AC15207455,9318,9325,PER,Starzer,"Oppaviensis könnte dafür nach Starzer’s Vermuthung — s. oben $. 2, "
AC15207455,9519,9528,PER,Seemüller,"Acta imperii 295. ’ Schon von Seemüller I, 3, Anm. 1 bemerkt. Ann. St"
AC15207455,10213,10220,PER,Starzer,"Oppaviensis könnte dafür nach Starzer’s Vermuthung — s. oben $. 2, "
AC15207455,10334,10340,LOC,Neapel, Niederwerfung der Mauern von Neapel‘ selbst nach Deutschland geme
AC15207455,11264,11271,PER,Manfred,"berliefert, und meistens wird Manfred als Urheber des Mordes genann"
AC15207455,11549,11556,PER,Ottokar,"ssen Wahrscheinlichkeit, dass Ottokar den gegen Manfred vielfach er"
AC15207455,16577,16584,PER,Ruofach,"ister beigefügten Angaben von Ruofach, von Valschenbere, von der Si"
AC15207455,17371,17378,PER,Manfred,"urf, welchen der Reimchronist Manfred macht, dass er über seiner Vo"
AC15207455,17610,17617,PER,Ottokar,"ute am Hofe Manfreds, wie sie Ottokar behauptet, eine geschichtlich"
AC15207455,17997,18006,PER,Salimbene,Stütze namentlich die Angaben Salimbene’s? über -die hervorragendsten
AC15207455,19538,19553,PER,Manfred Maletta,"chkeit von Manfreds Kämmerer, Manfred Maletta! Salimbene Parm. Ausgabe $. 2"
AC15207455,20690,20697,PER,Ottokar,"her kaum wahrscheinlich, dass Ottokar hier auch nur mittelbar das W"
AC15207455,22862,22869,LOC,Italien,kehr zwischen Deutschland und Italien. Ob aber deutsche Spielleute 
AC15207455,23731,23740,PER,Seemüller,"2 In dankenswerther Weise hat Seemüller I, 6, Anm. 2 zu V. 396 ‚an de"
AC15207455,24006,24013,PER,Ottokar,"idam Peter von Aragonien, den Ottokar hier schon als König einführt"
AC15207455,24129,24135,LOC,Karlot,"chon jetzt in den Kampf gegen Karlot eingreifen zu lassen, bahnt d"
AC15207455,25125,25131,LOC,Ceeili,kan als lange si daz teten in Ceeili und in Pullen eteliche gern e
AC15207455,25139,25145,LOC,Pullen,si daz teten in Ceeili und in Pullen eteliche gern erfullen unz da
AC15207455,25209,25215,LOC,Tuskan,r Karlot gewan guoten teil in Tuskan des babsts gebot wolden in Ce
AC15207455,25243,25249,LOC,Ceeili,an des babsts gebot wolden in Ceeili und in Pullen eteliche gern e
AC15207455,25257,25263,LOC,Pullen,gebot wolden in Ceeili und in Pullen eteliche gern erfullen der ja
AC15207455,26077,26084,PER,Ottokar,"m Capitel VO, V. 493ff. setzt Ottokar die Erzählung der geschichtli"
AC15207455,26315,26321,PER,Jordan,", Acerra, indem er den Grafen Jordan (von Lancea) irrig an die Ste"
AC15207455,26810,26819,PER,Seemüller,"kars Weise, ist die schon von Seemüller gerügte Verwechselung des Tag"
AC15207455,26869,26877,LOC,Benevent,ng des Tages der Schlacht von Benevent mit dem der Schlacht von Alba
AC15207455,26903,26907,LOC,Alba,vent mit dem der Schlacht von Alba. Die Beschreibung des Kampfes
AC15207455,27182,27189,PER,Ottokar,"tige Art, mit welcher Meister Ottokar seine Verse aus dem Aermel sc"
AC15207455,29841,29849,LOC,Benevent, er als Jahr der Schlacht bei Benevent 1265 und als regierenden Paps
AC15207455,32464,32470,LOC,Verona,stlichen Erlasses und der von Verona aus angetretenen Heimreise de
AC15207455,32672,32679,PER,Ottokar,it Karl von Anjou schlägt bei Ottokar die Benützung der Salz. burge
AC15207455,33356,33363,LOC,Ottokar,"alen boten, hatte ersichtlich Ottokar nicht befriedigt, ebensowenig"
AC15207455,33855,33862,PER,Ottokar,"anderen Gelegenheiten Meister Ottokar durch den Umstand, dass er ni"
AC15207455,34452,34456,PER,wan‘," Eingeständnisses, blos ‚nach wan‘ zu sprechen, doch genug über "
AC15207455,36675,36682,PER,Ottokar, leben. kom er an si gestozen Ottokar gibt hier eine Darstellung de
AC15207455,38171,38180,PER,Konradins,"r dann die letzten Schicksale Konradins und Friedrichs von Baden, und"
AC15207455,38556,38599,PER,Bartolomeo de Neocastro Del Re Serittori II,"arstellung bei dem Sieilianer Bartolomeo de Neocastro Del Re Serittori II, 423, bei dem Catalanen d’Ese"
AC15207455,38801,38810,PER,Seemüller," Annalen beeinflusst sei, wie Seemüller vermuthet, dünkt mich nicht w"
AC15207455,39388,39397,PER,Seemüller," Annalen beeinflusst sei, wie Seemüller vermuthet, dünkt mich nicht w"
AC15207455,43956,43964,PER,Manfreds, Sp. 136. Reimchronik V. 928. Manfreds Fall. Karolus confestim toto 
AC15207455,44252,44259,LOC,Italien,hon als Gegner Konrads IV. in Italien weilt und längst vor Manfreds
AC15207455,44436,44442,LOC,Ceeili,wan guoten teil in Tuskan: in Ceeili und in Pullen eteliche gern e
AC15207455,44450,44456,LOC,Pullen,l in Tuskan: in Ceeili und in Pullen eteliche gern erfullen als la
AC15207455,44579,44585,LOC,Ceeili,: des bäbsts gebot wolden. in Ceeili und in Pullen eteliche gern e
AC15207455,44593,44599,LOC,Pullen,ebot wolden. in Ceeili und in Pullen eteliche gern erfullen I Seem
AC15207455,45082,45089,PER,Ottokar,"scheint mir die Annahme, dass Ottokar auf Ricobaldus fusst, durch f"
AC15207455,46489,46496,PER,Ottokar,"leicht entstehen konnte, wenn Ottokar, wie es ja auch in manchem an"
AC15207455,47111,47124,PER,Ricobaldus Sp,de die Rolle gewechselt haben Ricobaldus Sp. 137. Reimchronik V. 3396. Co
AC15207455,49230,49237,PER,Ottokar,en ze solhen untriwen Der von Ottokar gegen den Papst erhobene Vorw
AC15207455,50943,50948,LOC,Baden,", wie der Mund Friedrichs von Baden, da das Haupt schon vom Rumpf"
AC15207455,54083,54090,PER,Ottokar, den vom Reimchronisten wider Ottokar von Böhmen erhobenen Vorwurf 
AC15207455,54369,54377,LOC,Scurcola,"lor Konradin die Schlacht bei Scurcola, flüchtete dann nach Rom, wo "
AC15207455,54399,54402,LOC,Rom,"Scurcola, flüchtete dann nach Rom, wo er mehrere Tage verweilte"
AC15207455,54458,54465,LOC,Asturia,"ilte, und von da südlich nach Asturia, wo er nach dem Versuche, auf"
AC15207455,54956,54962,LOC,Neapel,rzer Zeit keine Botschaft von Neapel nach Prag und wieder zurück S
AC15207455,54968,54972,LOC,Prag,ine Botschaft von Neapel nach Prag und wieder zurück Selangen kö
AC15207455,55421,55433,LOC,Unteritalien,9. October eine Botschaft von Unteritalien nach Prag und von hier wieder
AC15207455,55439,55443,LOC,Prag,tschaft von Unteritalien nach Prag und von hier wieder zurückgel
AC15207455,56931,56938,PER,Ottokar,"Tage ein Brief des Papstes an Ottokar, eine Empfehlung der Johannit"
AC15207455,59080,59090,PER,Friedrichs,"des künftigen Schwiegervaters Friedrichs, gerechnet.” Und wenn hier au"
AC15207455,59914,59921,LOC,Italien,"Aber als der junge Staufer in Italien verweilte, um die angestammte"
AC15207455,60535,60544,PER,Ulanowski,". I, 555. % S.den Aufsatz von Ulanowski: ‚Neues urkundliches Material"
AC15207455,61684,61692,PER,Ottokars,"ist stets ein scharfer Gegner Ottokars,? und es erscheint mir daher "
AC15207455,63786,63802,PER,Giovanni Villani,"bert von Flandern berichten — Giovanni Villani 1. VII, Cap. 29: Al giudice c"
AC15207455,64301,64309,LOC,Flandern,"aus der Heimat des Grafen von Flandern findet sich, obwohl in ihnen "
AC15207455,65021,65030,PER,Seemüller," zwar berichtet er, wie schon Seemüller bemerkt hat, in engstem Ansch"
AC15207455,66002,66017,PER,Johannes Longus," IV, 291 gewürdigt habe, dann Johannes Longus in seiner Chronica S. Bertini"
AC15207455,66167,66174,PER,Riccard,t von ihm erwähnte Manuseript Riccard. 1836. Aber der Codex hat sic
AC15207455,66908,66923,PER,Johannes Longus," IV, 291 gewürdigt habe, dann Johannes Longus in seiner Chronica S. Bertini"
AC15207455,68135,68142,PER,Ottokar,"er Deutlichkeit, wie sehr bei Ottokar der Geschichtschreiber dem Di"
AC15207455,68646,68666,PER,Konrad von Rotenberk,einen früheren Lehrer Meister Konrad von Rotenberk konnten wir als seinen Gewähr
AC15207455,69802,69809,PER,Ottokar,hweise sich der Kreis der von Ottokar benutzten schriftlichen Quell
AC15207473,78,87,LOC,Göttingen,"Hormisda. Von Otto Günther in Göttingen. 

In der von den Zeiten der "
AC15207473,1436,1449,PER,Joseph Langen,"eihe der Briefe in der Samm-"" Joseph Langen, Gesch. der röm. Kirche von L"
AC15207473,1478,1484,PER,Leo I.,"n, Gesch. der röm. Kirche von Leo I. bis Nicolaus I., Bonn 1885. i"
AC15207473,1489,1500,PER,Nicolaus I.,"er röm. Kirche von Leo I. bis Nicolaus I., Bonn 1885. i Sitzungsber, d."
AC15207473,3562,3576,LOC,Constantinopel,ne Beilegung des Streites mit Constantinopel recht gering; hatte doch soga
AC15207473,4213,4219,LOC,Byzanz, rückte mit Heeresmacht gegen Byzanz (Theophanes p. 160 ed. de Boo
AC15207473,4479,4482,LOC,Rom,"n der Kaiser zwei Briefe nach Rom, n. 1 und n. 2:! den ersten, "
AC15207473,4619,4633,LOC,Constantinopel,"weiten, am 12. Januar 515 aus Constantinopel abgeschickten überreichte zus"
AC15207473,4702,4728,PER,Dorotheus von Thessaloniee, einem Schreiben des Bischofs Dorotheus von Thessaloniee (n. 3) schon am 28. März ein 
AC15207473,4781,4784,LOC,Rom,rz ein gewisser Patricius® in Rom. So beantwortet denn Hormisda
AC15207473,5284,5292,PER,Ennodius,", bestehend aus den Bischöfen Ennodius und Fortunatus, dem Presbyter"
AC15207473,5769,5777,LOC,Vitalian,"de). Ein Brief des Papstes an Vitalian, der ebenfalls durch die Lega"
AC15207473,5874,5888,LOC,Constantinopel,"ie es dieser Gesandtschaft in Constantinopel gegangen, können wir leider n"
AC15207473,6027,6030,LOC,Rom,ter desselben Jahres 515 nach Rom zurückgesandt und bekam hierb
AC15207473,6271,6281,PER,Theophanes,"ls die Annahme, dass das, was Theophanes von j den versammelten Bischö"
AC15207473,7212,7218,PER,Langen,"gemäss in der Darstellung bei Langen $. 259. Gegen Ende von $ 3, i"
AC15207473,7589,7594,PER,Thiel," volumt esse discordiam, wozu Thiel ‘bemerkt, statt guam ab his h"
AC15207473,8404,8418,LOC,Constantinopel,"h auf päpstlichen Befehl nach Constantinopel gezogen. Die Leute, die Anast"
AC15207473,8671,8674,LOC,Rom,"n umhertrieben, ja sogar nach Rom kamen. Vor den coneinnati ser"
AC15207473,8778,8783,PER,Thiel,"den römischen Senat in n. 12 (Thiel, p. 766). An eine Fortdauer d"
AC15207473,8885,8897,PER,Hergenröther," hinein scheint übrigens auch Hergenröther (Photius I, 144) zu denken. n"
AC15207473,9148,9154,PER,Langen,"gemäss in der Darstellung bei Langen $. 259. Gegen Ende von $ 3, i"
AC15207473,9525,9530,PER,Thiel," volumt esse discordiam, wozu Thiel ‘bemerkt, statt guam ab his h"
AC15207473,10340,10354,LOC,Constantinopel,"h auf päpstlichen Befehl nach Constantinopel gezogen. Die Leute, die Anast"
AC15207473,10607,10610,LOC,Rom,"n umhertrieben, ja sogar nach Rom kamen. Vor den coneinnati ser"
AC15207473,10714,10719,PER,Thiel,"den römischen Senat in n. 12 (Thiel, p. 766). An eine Fortdauer d"
AC15207473,10821,10833,PER,Hergenröther," hinein scheint übrigens auch Hergenröther (Photius I, 144) zu denken. >"
AC15207473,11337,11347,PER,Anastasius,"n wir besitzen, ist einer des Anastasius (n. 11), datirt Constantinope"
AC15207473,11364,11378,LOC,Constantinopel,"es Anastasius (n. 11), datirt Constantinopel den 16. Juli 516. Es ist ein "
AC15207473,11606,11609,LOC,Rom,"den Frieden dem 11. August in Rom angelangt sein, da in den Sch"
AC15207473,13239,13247,PER,Hormisda,"res erfahren wir aus dem, was Hormisda (n. 22, $. 783 Thiel) an Avit"
AC15207473,13637,13640,LOC,Rom,"anzunehmen, dem 11. August in Rom angelangt sein, da in den Sch"
AC15207473,14064,14072,PER,Hormisda,n. Zugleich mit dem Briefe an Hormisda überbrachten die beiden Hofbe
AC15207473,14127,14136,LOC,Chalcedon,Hofbeamten ein am 28. Juli in Chalcedon ausgefertigtes kaiserliches S
AC15207473,14720,14730,PER,Anastasius,sius) und n. 14 (der Senat an Anastasius):? beide gehen durch T'heopom
AC15207473,14766,14774,PER,Severian,"ide gehen durch T'heopomp und Severian zurück, also frühestens etwa "
AC15207473,14942,14945,LOC,Rom,en Falle Anfangs September in Rom eingetroffen sein können.? De
AC15207473,15132,15138,LOC,Byzanz,"a die kaiserlichen Boten nach Byzanz zurück. 
Mit diesem Briefe de"
AC15207473,15323,15345,PER,Johannes von Nicopolis,rz die Schreiben des Bischofs Johannes von Nicopolis (15) und der Synode von Epiru
AC15207473,15542,15556,LOC,Constantinopel,"zu jenen Schreiben war der in Constantinopel (vgl. Brief 16, $ 1 bei Thiel"
AC15207473,15581,15586,PER,Thiel,"nopel (vgl. Brief 16, $ 1 bei Thiel und dazu Marcellin. Com. Chro"
AC15207473,15668,15677,LOC,Altepirus,"lgte Tod des Metropoliten von Altepirus, Erzbischofs Aleison von Nieo"
AC15207473,15691,15712,PER,Aleison von Nieopolis,"en von Altepirus, Erzbischofs Aleison von Nieopolis. Die Synode von Epirus vetus "
AC15207473,15805,15814,LOC,Nieopolis,ssen Johannes zum Bischof von Nieopolis und zeigt dieses dem Papste a
AC15207473,17889,17892,LOC,Rom,6 (etwa Anfangs October) nach Rom gebracht hat; Brief 19 ist Be
AC15207473,18326,18333,PER,Rufinus,"inlich erscheint jedoch, dass Rufinus mit Brief 17 und 18 XV Kal. D"
AC15207473,19174,19183,LOC,Nieopolis, sehen. Pullios Aufenthalt in Nieopolis dauerte übrigens nicht gar la
AC15207473,19283,19286,LOC,Rom,"it Briefen von dort wieder in Rom angelangt sein, denn in einem"
AC15207473,19725,19734,LOC,Nicopolis,"$. 12. | ! { | ! } 4 il x von Nicopolis richtet (n. 23),1 spricht er "
AC15207473,20604,20618,LOC,Constantinopel,"s); 
4. einen Brief an den in Constantinopel weilenden afrikanischen Bisch"
AC15207473,20651,20660,PER,Possessor,"ilenden afrikanischen Bischof Possessor, n. 31 (data III Non. Apr.); "
AC15207473,20737,20752,LOC,Constantinopels," an die orthodoxe Bevölkerung Constantinopels, Geistliche wie Laien, n. 32 "
AC15207473,21134,21139,PER,Thiel," diesem Falle keineswegs, wie Thiel angibt, n. 27, der Brief des "
AC15207473,21180,21190,PER,Anastasius," 27, der Brief des Papstes an Anastasius vom 3. April 517, sondern n. "
AC15207473,22916,22925,PER,Timotheus, in der That so: der Brief an Timotheus passt bei Weitem mehr für den
AC15207473,23054,23068,LOC,Constantinopel,"nmal | eine Verständigung mit Constantinopel versucht, als für den if 12. "
AC15207473,23285,23294,PER,Timotheus,"n betreffen, in dem Briefe an Timotheus aber mit keinem Worte von die"
AC15207473,23781,23784,LOC,Rom, ein Diakon des Johannes nach Rom brachte! und in denen über ve
AC15207473,23878,23904,PER,Dorotheus von Thessalonice,waltthätigkeiten des Bischofs Dorotheus von Thessalonice Klage geführt wurde. In Folge
AC15207473,24002,24010,PER,Ennodius,"il: 

1. einen neuen Brief an Ennodius und Peregrinus, n. 33 (data p"
AC15207473,24240,24249,PER,Dorotheus,"e, n. 34; 4. ein Schreiben an Dorotheus, n. 36 (data pridie Id. Apr.)"
AC15207473,24341,24363,PER,Johannes von Nicopolis,"r, n. 57; 

5. einen Brief an Johannes von Nicopolis, n. 35 (data pridie Id. Apr.)"
AC15207473,26381,26395,PER,Johannes Nieop,April 517 124 (23) | Horm. an Johannes Nieop. 3. März 517 125 (10) Anastas
AC15207473,26418,26428,PER,Anastasius,s Nieop. 3. März 517 125 (10) Anastasius an per Ennodium et Hormisda F
AC15207473,26620,26630,PER,Anastasius,pril 517 127 (37). | Horm. an Anastasius | per Ennodium et 12. April 5
AC15207473,26988,26997,LOC,Nicopolis,"durch g 8 ’ 5 x i Pullio nach Nicopolis gebracht sein, da, wie wir ge"
AC15207473,27110,27113,LOC,Rom,chon vor dem 3. März 517 nach Rom zurückgekehrt war; allein war
AC15207473,27434,27443,LOC,Nicopolis,"e ein Diakon des Bischofs von Nicopolis, und diese Bemerkung gibt uns"
AC15207473,28300,28309,LOC,Nicopolis, März seine zweite Reise nach Nicopolis an und überbringt die Antwort
AC15207473,28393,28402,LOC,Nicopolis,"ge Schreiben des Bischofs von Nicopolis, das er selbst nach Rom beför"
AC15207473,28423,28426,LOC,Rom,"Nicopolis, das er selbst nach Rom befördert hat. Auffällig könn"
AC15207473,28726,28736,PER,Anastasius," 36 (an Dorotheus) und 37 (an Anastasius) am 12. April von Rom abging,"
AC15207473,28755,28758,LOC,Rom," Anastasius) am 12. April von Rom abging, sollte gar nicht selb"
AC15207473,28796,28808,LOC,Thessalonice, sollte gar nicht selbst nach Thessalonice oder gar Oonstantinopel gelan
AC15207473,28818,28832,LOC,Oonstantinopel,"st nach Thessalonice oder gar Oonstantinopel gelangen, sondern war durchau"
AC15207473,28933,28945,LOC,Thessalonice,"nus, noch ehe sie selbst nach Thessalonice kamen, einzuholen und dann ih"
AC15207473,30875,30889,LOC,Constantinopel,odius und Peregrinus erst von Constantinopel aus nach Thessalonice gehen s
AC15207473,30899,30911,LOC,Thessalonice,"t von Constantinopel aus nach Thessalonice gehen sollten, würde er dies "
AC15207473,31562,31576,LOC,Constantinopel,odius und Peregrinus erst von Constantinopel aus nach Thessalonice gehen s
AC15207473,31586,31598,LOC,Thessalonice,"t von Constantinopel aus nach Thessalonice gehen sollten, würde er dies "
AC15207473,32607,32613,LOC,Byzanz,thanen Wünsche der Synode von Byzanz ein und wird befördert durch 
AC15207473,32865,32870,PER,Thiel,"aronius und alle Neueren, wie Thiel und Langen, sagen: nach Ankun"
AC15207473,32875,32881,PER,Langen,"d alle Neueren, wie Thiel und Langen, sagen: nach Ankunft auch des"
AC15207473,33557,33566,PER,Alexander,"erbringer des ersten Briefes, Alexander, mit seinem kurzen Glückwunsc"
AC15207473,33875,33889,LOC,Constantinopel, eines fünf Wochen später aus Constantinopel abgegangenen Schreibens abgew
AC15207473,34591,34596,PER,Thiel,"m Carafa auf und mit ihm auch Thiel, der nun so interpungirt: Sum"
AC15207473,35701,35709,PER,Tancredi,"n Ausgaben, die sich noch bei Tancredi, S. Ormisda e 8. Silverio (Ro"
AC15207473,37459,37462,LOC,Rom, genaueren Informationen nach Rom abgehen werde; allein ein And
AC15207473,37889,37903,LOC,Constantinopel,"ss Gratus am 7. September aus Constantinopel abging, aber erst am 20. Dece"
AC15207473,37941,37944,LOC,Rom," aber erst am 20. December in Rom eintraf, und dass Hormisda in"
AC15207473,38433,38443,LOC,Theoderich,"orgerufen ist, den Gratus bei Theoderich abzustatten hatte. Wurde er h"
AC15207473,38580,38583,LOC,Rom,"t in Italien schon lange nach Rom gedrungen sein, während er se"
AC15207473,38748,38756,PER,Baronius,"a an Justin (n. 45) nicht mit Baronius, Thiel, Langen, Jaffe nach, s"
AC15207473,38758,38763,PER,Thiel,"n (n. 45) nicht mit Baronius, Thiel, Langen, Jaffe nach, sondern "
AC15207473,38765,38771,PER,Langen,"5) nicht mit Baronius, Thiel, Langen, Jaffe nach, sondern beträcht"
AC15207473,38773,38778,PER,Jaffe," mit Baronius, Thiel, Langen, Jaffe nach, sondern beträchtliche Z"
AC15207473,38915,38922,LOC,Italien," zu der Gratus bereits gut in Italien angekommen sein konnte. 
‚Wie"
AC15207473,39289,39295,LOC,Byzanz, denn genug. sandtschaft nach Byzanz gebeten.' In der That geht de
AC15207473,39406,39414,PER,Germanus,"t bestehend aus den Bischöfen Germanus und Johannes, dem Presbyter B"
AC15207473,39470,39475,PER,Felix,"er Blandus sowie den Diakonen Felix und Dioscorus, mit Instruetio"
AC15207473,39480,39489,PER,Dioscorus," sowie den Diakonen Felix und Dioscorus, mit Instruetion und reichlic"
AC15207473,39815,39821,PER,Langen,"unehmen ist da zunächst, dass Langen’s Annahme (S: 269), Gratus ha"
AC15207473,40066,40071,PER,Thiel," maioris ‚heisst es in n. 64, Thiel, p: 857) erfolgten Ankunft de"
AC15207473,40116,40122,LOC,Byzanz,gten Ankunft der Gesandten in Byzanz Bischof Johannes von Constant
AC15207473,40762,40768,PER,Gratus,efen als mit Sicherheit durch Gratus befördert sofort n. 46 und 47
AC15207473,41217,41223,LOC,Orient,"n dem er die Legaten nach dem Orient schiekte, einen direeten Bote"
AC15207473,41260,41274,LOC,Constantinopel,"te, einen direeten Boten nach Constantinopel gerichtet haben sollte, ohne "
AC15207473,41618,41632,LOC,Constantinopel,"ar, besondere Commissäre nach Constantinopel zu schicken. So erklärt es si"
AC15207473,42103,42113,PER,Anastasius," seinen Gesandtschaften unter Anastasius gemacht hatte, zu einem dritt"
AC15207473,42282,42294,LOC,Thessalonike, 49) und einem Schreiben nach Thessalonike (n. 55) folgende Briefe nach 
AC15207473,42324,42338,LOC,Constantinopel," (n. 55) folgende Briefe nach Constantinopel mit: 1. n. 50 an Justin, das "
AC15207473,42457,42484,PER,Johannes von Constantinopel," der Abgesandten; 2. n. 52 an Johannes von Constantinopel; 3. n. 53, Die Ungenauigkeit "
AC15207473,42710,42715,PER,Thiel,"ua subscriplum ad nos dirige (Thiel, p. 837). 2 quid igitur facer"
AC15207473,43336,43344,PER,Germanus," die Kaiserin Euphemia? durch Germanus und Genossen befördert ist, k"
AC15207473,44396,44402,LOC,Aulona,"ben an den Papst zunächst aus Aulona (vgl. n. 59, $ 1, Thiel, p. 8"
AC15207473,44421,44426,PER,Thiel," aus Aulona (vgl. n. 59, $ 1, Thiel, p. 850; der Brief selbst ist"
AC15207473,44593,44607,LOC,Constantinopel,". Am 25. März kommen sie nach Constantinopel, und dank der Bereitwilligkei"
AC15207473,44753,44758,PER,Thiel,"eria, sc. hebdomadae maioris, Thiel, p. 857) Johannes von Constan"
AC15207473,45272,45277,PER,Thiel,"terum. Es ist also nicht, wie Thiel anzunehmen scheint und Langen"
AC15207473,45689,45695,LOC,Byzanz,"er Absendung der Legaten nach Byzanz gelangt ist, so wird man sie "
AC15207473,45759,45764,PER,Thiel,er noch in den Januar als mit Thiel und Jafte in den Februar setz
AC15207473,45769,45774,PER,Jafte," den Januar als mit Thiel und Jafte in den Februar setzen, da sch"
AC15207473,45923,45930,LOC,Scampae,"chiekte Gesandte mit ihnen in Scampae zusammentreffen (vgl. n.' 59,"
AC15207473,46820,46828,PER,Johannes,chlossen. Auch an den Bischof Johannes (vgl. Brief n. 102) möchte ic
AC15207473,46887,46892,PER,Felix,ch weniger gern denken als an Felix oder Blandus (oder den nach d
AC15207473,47439,47445,LOC,Byzanz,"er Absendung der Legaten nach Byzanz gelangt ist, so wird man sie "
AC15207473,47509,47514,PER,Thiel,er noch in den Januar als mit Thiel und Jafte in den Februar setz
AC15207473,47673,47680,LOC,Scampae,"chiekte Gesandte mit ihnen in Scampae zusammentreffen (vgl. n.' 59,"
AC15207473,47724,47729,PER,Thiel,"en (vgl. n.' 59, $. 3, p. 851 Thiel). n. 59/und 60 haben sicherli"
AC15207473,48321,48329,PER,Germanus,"er der Gesandtschaft, Bischof Germanus, die beiden Berichte nicht ve"
AC15207473,48570,48578,PER,Johannes,chlossen. Auch an den Bischof Johannes (vgl. Brief n. 102) möchte ic
AC15207473,48637,48642,PER,Felix,ch weniger gern denken als an Felix oder Blandus (oder den nach d
AC15207473,48760,48774,LOC,Constantinopel,r Petrus). mit dem ersten von Constantinopel abgesandten Berichte der Lega
AC15207473,49193,49198,PER,Thiel,"vgl. besonders n. 65, $ 1 bei Thiel), mit zweifelloser Sicherheit"
AC15207473,49451,49465,LOC,Constantinopel,en Boten über die Vorgänge in Constantinopel erhielt.! Sodann wissen wir a
AC15207473,49648,49651,LOC,Rom," war, der diese Berichte nach Rom überbrachte, wissen ferner au"
AC15207473,49752,49755,LOC,Rom,"o seine Briefe am 19. Juni in Rom abgab, und würden also, auch "
AC15207473,50295,50309,LOC,Constantinopel,hannis n. 61 am 22. April aus Constantinopel abgingen. Unterwegs nahm Pull
AC15207473,50494,50499,PER,Thiel,". April ausgefertigt ist, wie Thiel und Langen wollen, sondern sp"
AC15207473,50504,50510,PER,Langen,"sgefertigt ist, wie Thiel und Langen wollen, sondern später, siche"
AC15207473,50774,50788,LOC,Constantinopel,"ist. 
Die nächste Sendung aus Constantinopel,! die wir besitzen und sicher"
AC15207473,51179,51188,PER,Justinian,"en. Ferner geht ein Brief des Justinian mit (n. 78), der ebenfalls vo"
AC15207473,51413,51418,PER,Thiel,r war ein gewisser Rulogius.? Thiel und Langen freilich führen vo
AC15207473,51423,51429,PER,Langen,gewisser Rulogius.? Thiel und Langen freilich führen vor der Sendu
AC15207473,51507,51516,PER,Dioscorus,ch einen Bericht des Diakonen Dioscorus vom 30. Mai an. Es ist dies n
AC15207473,51782,51787,PER,Thiel,"bin der Ansicht, auf die auch Thiel p. 871, Anm. 1 gekommen war, "
AC15207473,52145,52159,LOC,Constantinopel,"Erfolg des Einigungswerkes in Constantinopel empfinde, und kommt dann auf "
AC15207473,52221,52231,LOC,Antiochien,"e Verhältnisse der Kirche von Antiochien: Nunc etsi post labores, etsi"
